province,city,river,basin,section,monitor_time,quality,water_temp,ph,ph_l,dissolvedoxygen,dissolvedoxygen_l,codmn,codmn_l,nh3-n,nh3-n_l,tp,tn,conductivity,turbidity,chlorophyll,algal_density,section_status
广东省,深圳市,茅洲河,珠江流域,共和村,2024-11-22 20:00:00,Ⅴ,22.898,7.15,-,3.899,-,4.719,-,1.841,-,0.232,6.855,5594.142,23.815,,,正常
浙江省,金华市,南江,浙闽片河流,台口,2024-11-22 20:00:00,Ⅱ,17.02,8.115,-,9.562,-,2.4547,-,0.025,-,0.005,2.867,,5.808,,,维护
黑龙江省,哈尔滨市,,松花江流域,呼兰河口内(铁路桥),2024-11-22 20:00:00,Ⅳ,29.29,8.06,-,6.72,-,7.595,-,0.917,-,0.211,1.755,,6.74,,,维护
云南省,曲靖市,南盘江,珠江流域,天生桥,2024-11-22 20:00:00,Ⅳ,16.879,8.076,-,7.542,-,7.634,-,0.0271,-,0.0718,5.576,633.62,21.755,,,正常
广西壮族自治区,钦州市,茅岭江,珠江流域,茅岭大桥,2024-11-22 20:00:00,Ⅱ,23.75,7.22,-,7.33,-,1.86,-,0.127,-,0.088,1.223,6182.11,9.41,,,正常
江苏省,宿迁市,,淮河流域,临淮乡入湖口,2024-11-23 00:00:00,Ⅱ,13.49,8.083,-,9.042,-,3.619,-,0.025,-,0.0534,1.612,574.7,42,,,正常
山西省,忻州市,滹沱河,海河流域,南庄,2024-11-23 00:00:00,Ⅱ,8.280001,7.86797,-,10.77387,-,1.511,-,0.025,-,0.0561,5.8081,665.093,146.718,,,维护
浙江省,衢州市,江山港,浙闽片河流,双塔底,2024-11-23 00:00:00,Ⅱ,16.88,7.29,-,7.678,-,1.277,-,0.0768,-,0.0478,0.997,105.48,16.82,,,正常
江西省,南昌市,赣江,长江流域,昌邑,2024-11-23 00:00:00,Ⅱ,14.36,6.979,-,11.45,-,1.5281,-,0.0341,-,0.0731,1.738,210.82,86.52,,,正常
重庆市,云阳县,汤溪河,长江流域,汤溪河江口,2024-11-23 00:00:00,Ⅰ,14.68,8.242,-,9.143,-,0.378,-,0.025,-,0.0105,1.067,247.192,13.376,,,正常
广东省,深圳市,,珠江流域,深圳河口,2024-11-23 00:00:00,Ⅳ,21.0132,7.19766,-,4.7258,-,4.04762,-,1.19828,-,0.16551,4.12714,7506.797,14.92545,,,正常
广西壮族自治区,贵港市,浔江,珠江流域,石嘴,2024-11-23 00:00:00,Ⅱ,24.08608,8.127995,-,8.095533,-,0.98668,-,0.025,-,0.02606154,2.171772,336.6004,3.426543,,,正常
吉林省,吉林市,,松花江流域,蛟河口,2024-11-23 00:00:00,Ⅱ,0.443,7.076,-,10.208,-,3.129,-,0.134,-,0.0813,4.53,300.203,40.269,,,正常
广东省,潮州市,韩江,珠江流域,赤凤,2024-11-23 00:00:00,Ⅱ,22.97,7.61,-,7.39,-,1.59,-,0.046,-,0.049,1.599,125.6,3.97,,,正常
四川省,广安市,嘉陵江,长江流域,金子,2024-11-23 00:00:00,Ⅱ,21.0875,7.97,-,7.3288,-,1.1288,-,0.0596,-,0.0272,2.2161,335.5875,29.7588,,,正常
江苏省,无锡市,白屈港,太湖流域,金潼桥,2024-11-23 00:00:00,Ⅱ,25.37,8.21,-,8.988,-,1.79,-,0.0592,-,0.0661,2.032,407.1,16.1,,,正常
四川省,成都市,北河,长江流域,201医院,2024-11-23 04:00:00,Ⅲ,15.74,8.28,-,8.94,-,1.764,-,0.111,-,0.157,4.026,614.83,12.02,,,正常
上海市,崇明区,北横引河,长江流域,七效港西桥,2024-11-23 04:00:00,Ⅲ,13.22,7.25,-,8.741,-,3.014,-,0.1984,-,0.1266,1.179,683.27,72.4,,,正常
广东省,清远市,北江,珠江流域,七星岗,2024-11-23 04:00:00,Ⅱ,21.704,7.91,-,7.806,-,1.176,-,0.025,-,0.037,1.723,211.84,4.884,,,正常
江苏省,扬州市,北澄子河,淮河流域,三垛西大桥,2024-11-23 04:00:00,Ⅱ,14.34,7.441,-,6.526,-,3.375,-,0.3381,-,0.0984,1.674,672.5,10.1,,,正常
江苏省,扬州市,夹江,长江流域,三江营,2024-11-23 04:00:00,Ⅱ,18.32,8.396,-,8.257,-,1.516,-,0.0457,-,0.0685,1.654,338.7,46.3,,,正常
上海市,崇明区,南横引河,长江流域,三沙洪交汇口,2024-11-23 04:00:00,Ⅲ,15.37,8.62,-,6.909,-,2.008,-,0.0504,-,0.1169,1.882,533.68,27.67,,,正常
江西省,宜春市,潦河,长江流域,三洪村,2024-11-23 04:00:00,Ⅱ,15.63,7.16,-,7.855,-,2.071,-,0.1667,-,0.0514,1.538,162.71,8.42,,,正常
广东省,韶关市,武江,珠江流域,三溪桥(乐昌三溪河),2024-11-23 04:00:00,Ⅱ,17.051,8.25,-,9.619,-,1.35,-,0.025,-,0.058,1.643,423.979,13.223,,,正常
山东省,滨州市,幸福河,海河流域,三角洼水库,2024-11-23 04:00:00,Ⅱ,13.649,8.704,-,11.255,-,2.451,-,0.055,-,0.0308,0.828,1044.721,24.38,,,正常
河南省,南阳市,老灌河,长江流域,三道河,2024-11-23 04:00:00,Ⅰ,10.874,7.02,-,11.277,-,0.356,-,0.025,-,0.005,10.214,441.832,48.986,,,正常
浙江省,嘉兴市,上塘河,太湖流域,上塘河排涝闸,2024-11-23 04:00:00,Ⅱ,16.91,7.42,-,7.502,-,3.1,-,0.1116,-,0.0986,3.035,629.78,39.29,,,正常
海南省,儋州市,珠碧江,珠江流域,上村桥,2024-11-23 04:00:00,Ⅱ,24.3,7.51,-,7.46,-,3.22,-,0.025,-,0.067,1.767,148.9,36.3,,,正常
陕西省,铜川市,,黄河流域,下桃水电站,2024-11-23 04:00:00,Ⅱ,7.774,8.65,-,12.101,-,2.081,-,0.034,-,0.035,4.94,1925.8,38.1,,,正常
浙江省,衢州市,马金溪,浙闽片河流,下界首,2024-11-23 04:00:00,Ⅰ,16.84,8.07,-,9.485,-,0.945,-,0.025,-,0.0196,0.535,291.167,3.53,,,正常
浙江省,衢州市,衢江,浙闽片河流,下童,2024-11-23 04:00:00,Ⅱ,17.71,7.34,-,7.293,-,2.196,-,0.1527,-,0.054,2.001,425.04,19.55,,,正常
山东省,东营市,广利河,淮河流域,东八路桥,2024-11-23 04:00:00,Ⅳ,11.838,8.755,-,10.882,-,8.891,-,0.0363,-,0.0819,1.226,5011.73,15.414,,,正常
山东省,烟台市,,淮河流域,东村河入海口,2024-11-23 04:00:00,Ⅳ,9.074,8.079,-,3.082,-,3.1549,-,0.1331,-,0.0844,5.687,944.701,96.439,,,正常
广东省,惠州市,,珠江流域,东江江口,2024-11-23 04:00:00,Ⅱ,19.94,7.03,-,8.379,-,1.112,-,0.0723,-,0.0277,1.492,90.49896,4.711802,,,正常
山东省,济宁市,光府河,淮河流域,东石佛,2024-11-23 04:00:00,Ⅲ,15.35,8,-,9.17,-,5.317,-,0.391,-,0.093,7.071,1328,6.9,,,正常
浙江省,衢州市,乌溪江,浙闽片河流,东迹渡,2024-11-23 04:00:00,Ⅱ,16.37,6.73,-,9.566,-,0.641,-,0.025,-,0.0776,1.264,62.88,7.73,,,正常
上海市,徐汇区,黄浦江,太湖流域,临江,2024-11-23 04:00:00,-3,16.685,7.49,-,5.594,-,,-,,-,,,573.841,179.608,,,维护
广东省,佛山市,顺德水道,珠江流域,乌洲,2024-11-23 04:00:00,Ⅱ,23.311,7.02,-,6.323,-,1.588,-,0.025,-,0.056,2.35,270.172,15.914,,,正常
黑龙江省,佳木斯市,,松花江流域,乌苏镇,2024-11-23 04:00:00,Ⅲ,8.83,7.28,-,9.71,-,4.573,-,0.0651,-,0.0378,0.815,102.49,39.72,,,正常
浙江省,嘉兴市,澜溪塘,太湖流域,乌镇北,2024-11-23 04:00:00,Ⅲ,16.6419,7.4632,-,5.9777,-,2.859,-,0.1519,-,0.1055,1.681,419.91,68.1543,,,正常
广东省,广州市,增江,珠江流域,九龙潭,2024-11-23 04:00:00,Ⅱ,21.81,7.05,-,7.308,-,1.327,-,0.054,-,0.027,1.126,91.756,13.689,,,正常
上海市,浦东新区,大治河,太湖流域,二团,2024-11-23 04:00:00,Ⅲ,16.09,7.76,-,8.653,-,5.071,-,0.3322,-,0.0188,2.311,555.35,118,,,正常
山东省,东营市,神仙沟,海河流域,五号桩,2024-11-23 04:00:00,Ⅲ,9.6132,8.299,-,10.0867,-,5.775,-,0.51,-,0.0731,1.271,4097.367,9.0309,,,正常
上海市,崇明区,南横引河,长江流域,五效,2024-11-23 04:00:00,Ⅲ,16.35,7.67,-,5.811,-,3.178,-,0.1596,-,0.1418,1.723,516.29,41.03,,,正常
广西壮族自治区,北海市,南流江,珠江流域,亚桥,2024-11-23 04:00:00,Ⅲ,22.55,7.563,-,7.39,-,2.06,-,0.025,-,0.108,2.588,2504.24,5.31,,,正常
广西壮族自治区,桂林市,寻江,珠江流域,交州,2024-11-23 04:00:00,Ⅰ,18.45,6.94,-,7.963,-,0.306,-,0.025,-,0.01,0.481,78.714,3.229,,,正常
贵州省,黔东南苗族侗族自治州,都柳江,珠江流域,从江大桥,2024-11-23 04:00:00,Ⅰ,19.688,7.438,-,9.052,-,0.944,-,0.048,-,0.011,0.762,117.579,6.693,,,正常
河北省,沧州市,,海河流域,何老营,2024-11-23 04:00:00,Ⅲ,11.46,8.38,-,8,-,4.06,-,0.084,-,0.065,1.357,1933.68,36,,,正常
四川省,德阳市,绵远河,长江流域,八角,2024-11-23 04:00:00,Ⅱ,15.51,7.96,-,8.54,-,0.722,-,0.025,-,0.0652,3.116,654.4,5.91,,,正常
江苏省,盐城市,苏北灌溉总渠,淮河流域,六垛闸,2024-11-23 04:00:00,Ⅱ,14.49,7.852,-,8.989,-,2.757,-,0.0552,-,0.0541,1.151,611.98,19.9,,,正常
广东省,云浮市,西江,珠江流域,六都水厂上游,2024-11-23 04:00:00,Ⅱ,24.18,8.06,-,7.878,-,0.964,-,0.025,-,0.0212,1.87,297.976,5.52,,,正常
贵州省,黔东南苗族侗族自治州,清水江,长江流域,兴仁桥,2024-11-23 04:00:00,Ⅰ,16.08,8.322,-,9.617,-,0.616,-,0.025,-,0.01,1.412,452.951,2.357,,,正常
辽宁省,本溪市,太子河,辽河流域,兴安,2024-11-23 04:00:00,Ⅱ,9.5,7.644,-,9.253,-,2.2713,-,0.3449,-,0.0293,5.2323,541.8,3.4,,,正常
辽宁省,铁岭市,凡河,辽河流域,凡河一号桥,2024-11-23 04:00:00,Ⅱ,4.5982,8.0197,-,12.414,-,1.71,-,0.025,-,0.022,6.369,555.616,3.8278,,,正常
广东省,潮州市,黄冈河,珠江流域,凤江桥,2024-11-23 04:00:00,Ⅱ,23.167,6.95,-,7.06,-,1.821,-,0.037,-,0.078,1.908,111.605,25.121,,,正常
上海市,崇明区,北横引河,长江流域,前卫村桥,2024-11-23 04:00:00,Ⅲ,12.63,7.19,-,6.638,-,4.475,-,0.3092,-,0.0935,1.867,693.92,69.87,,,正常
山东省,德州市,徒骇河,海河流域,前油坊,2024-11-23 04:00:00,Ⅳ,13.611,8.091,-,7.384,-,7.55,-,0.0933,-,0.1046,1.7,2247.186,395.342,,,正常
广西壮族自治区,来宾市,黔江,珠江流域,勒马,2024-11-23 04:00:00,Ⅱ,24.138,7.76,-,6.78,-,0.434,-,0.025,-,0.011,2.183,338.891,19.91,,,正常
辽宁省,抚顺市,太子河北支,辽河流域,北太子河入观音阁水库口,2024-11-23 04:00:00,Ⅰ,3.14,8.5763,-,13.7813,-,0.983,-,0.025,-,0.005,4.100337,261.9125,12.1275,,,正常
辽宁省,抚顺市,浑河清原段,辽河流域,北杂木,2024-11-23 04:00:00,Ⅰ,2.18,7.67,-,12.87,-,1.15,-,0.025,-,0.0184,4.307,306.89,4.3,,,正常
广东省,清远市,北江,珠江流域,北江石尾,2024-11-23 04:00:00,Ⅳ,21.579,7.11,-,4.916,-,1.935,-,0.573,-,0.06,2.587,290.707,8.608,,,正常
浙江省,宁波市,东钱湖,浙闽片河流,北湖中心,2024-11-23 04:00:00,Ⅲ,14.93,6.86,-,8.94,-,1.948,-,0.025,-,0.043,2.148,84,21.95,0.03349,166747.5,正常
广东省,韶关市,武江,珠江流域,十里亭,2024-11-23 04:00:00,Ⅱ,21.83,7.41,-,6.829,-,1.068,-,0.051,-,0.044,1.133,267.633,9.504,,,正常
福建省,南平市,闽江,浙闽片河流,十里庵,2024-11-23 04:00:00,Ⅱ,21.99,6.74,-,6.119,-,2.221,-,0.1471,-,0.072,1.742,198.1,10.27,,,正常
广东省,汕头市,梅溪河,珠江流域,升平,2024-11-23 04:00:00,Ⅱ,23.612,7.4,-,8.324,-,2.128,-,0.054,-,0.056,1.959,18416.9,18.187,,,正常
山东省,威海市,母猪河,淮河流域,南桥,2024-11-23 04:00:00,Ⅲ,8.267,8.944,-,16.196,-,5.429,-,0.025,-,0.0967,7.455,992.633,14.848,,,正常
江西省,景德镇市,南河,长江流域,南河河口,2024-11-23 04:00:00,Ⅳ,17.5,6.77,-,4.107,-,2.104,-,0.7891,-,0.141,2.593,264.11,16.81,,,正常
广东省,惠州市,东江,珠江流域,博罗城下(新角),2024-11-23 04:00:00,Ⅱ,22.097,7.04,-,6.225,-,1.151,-,0.227,-,0.053,2.498,162.611,9.34,,,正常
山东省,济南市,玉符河,黄河流域,卧虎山水库,2024-11-23 04:00:00,Ⅱ,14.26,7.987,-,7.64,-,2.003,-,0.1808,-,0.0099,3.577,533.747,5.284,,,正常
浙江省,衢州市,江山港,浙闽片河流,双港口,2024-11-23 04:00:00,Ⅱ,16.88,7.72,-,9.075,-,1.997,-,0.0291,-,0.0589,1.964,202.84,2.75,,,正常
辽宁省,抚顺市,苏子河,辽河流域,古楼,2024-11-23 04:00:00,Ⅰ,4.84,7.88,-,11.6,-,1.699,-,0.025,-,0.0175,4.847,313.86,7.72,,,正常
福建省,宁德市,闽江,浙闽片河流,古田黄田,2024-11-23 04:00:00,Ⅳ,23.254,6.698,-,4.635,-,1.918,-,0.06,-,0.058,1.359,158.687,7.945,,,正常
辽宁省,抚顺市,社河,辽河流域,台沟,2024-11-23 04:00:00,Ⅰ,3.22,7.67,-,12.73,-,0.2703,-,0.0485,-,0.0087,4.218,254.73,4.94,,,正常
浙江省,湖州市,泗安溪,太湖流域,合溪,2024-11-23 04:00:00,Ⅳ,15.47,7.13,-,3.74,-,3.572,-,1.0262,-,0.0289,2.834,345.4,26.24,,,正常
山东省,青岛市,吉利河,淮河流域,吉利河水库出口,2024-11-23 04:00:00,Ⅱ,14.316,7.91,-,8.448,-,3.9375,-,0.025,-,0.0324,1.127,310.057,6.674,,,正常
广东省,惠州市,吉隆河,珠江流域,吉隆商贸城前,2024-11-23 04:00:00,Ⅳ,22.27,6.54,-,3.557,-,1.755,-,0.239,-,0.068,2.33,391.655,19.702,,,正常
黑龙江省,佳木斯市,松花江,松花江流域,同江,2024-11-23 04:00:00,Ⅱ,9.54,7.91,-,12.48,-,3.577,-,0.0527,-,0.0581,2.656,345.87,6.2,,,正常
江苏省,镇江市,京杭运河,太湖流域,吕城,2024-11-23 04:00:00,Ⅲ,16.922,8.4,-,8.138,-,2.397,-,0.034,-,0.114,2.278,393.975,77.853,,,正常
内蒙古自治区,呼和浩特市,黄河,黄河流域,喇嘛湾,2024-11-23 04:00:00,Ⅳ,4.37,8.57,-,12.8,-,3.185,-,0.2914,-,0.2563,2.595,907.28,599.76,,,正常
山东省,济宁市,洙赵新河,淮河流域,喻屯,2024-11-23 04:00:00,Ⅳ,17.786,8.543,-,4.559,-,6.151,-,0.042,-,0.06,1.215,2394.167,39.293,,,正常
浙江省,宁波市,四灶浦,浙闽片河流,四灶浦闸,2024-11-23 04:00:00,Ⅲ,16.76,8.64,-,9.698,-,4.352,-,0.0299,-,0.0449,1.286,2897.61,36.51,,,正常
江苏省,连云港市,车轴河,淮河流域,四队桥,2024-11-23 04:00:00,Ⅲ,14.1,7.118,-,6.541,-,5.309,-,0.1602,-,0.1149,9.757,1014.01,54.75,,,正常
福建省,莆田市,木兰溪,浙闽片河流,园头桥,2024-11-23 04:00:00,Ⅳ,19.87,7.19,-,7.382,-,2.214,-,0.586,-,0.2536,4.933,196.99,8.9,,,正常
湖北省,孝感市,汉北河,长江流域,垌冢桥,2024-11-23 04:00:00,Ⅱ,14.32,7.819,-,8.456,-,1.871,-,0.132,-,0.072,1.436,377.304,36.118,,,正常
浙江省,湖州市,东苕溪,太湖流域,城南翻水站,2024-11-23 04:00:00,Ⅱ,17.53,7.25,-,7.208,-,1.788,-,0.0459,-,0.0389,1.889,275.7,7.97,,,正常
青海省,西宁市,湟水,黄河流域,塔尔桥,2024-11-23 04:00:00,-3,2.72937,7.84761,-,9.63739,-,,-,,-,,,341.8307,14.6239,,,维护
浙江省,湖州市,西苕溪,太湖流域,塘浦,2024-11-23 04:00:00,Ⅱ,15.08,7.49,-,8.763,-,0.921,-,0.0282,-,0.0317,1.912,113.01,2.97,,,正常
广东省,广州市,增江,珠江流域,增江口,2024-11-23 04:00:00,Ⅱ,22.59,7.07,-,6.652,-,1.32,-,0.0675,-,0.0323,1.67,138.8386,10.21531,,,正常
山东省,青岛市,墨水河,淮河流域,墨水河入海口,2024-11-23 04:00:00,Ⅳ,12.177,7.874,-,6.698,-,7.88,-,0.2234,-,0.1735,8.12,2087.83,8.38,,,正常
广东省,广州市,珠江广州段,珠江流域,墩头基,2024-11-23 04:00:00,Ⅱ,22.58,7.54,-,7.021,-,2.751,-,0.037,-,0.0668,3.17,1783.867,52.36739,,,正常
江苏省,连云港市,新沭河,淮河流域,墩尚水漫桥,2024-11-23 04:00:00,Ⅱ,12.559,8.297,-,8.909,-,3.524,-,0.046,-,0.075,0.705,518.137,89.787,,,正常
江苏省,泰州市,,长江流域,夏仕港大桥,2024-11-23 04:00:00,Ⅱ,16.83,8.053,-,8.391,-,1.844,-,0.1271,-,0.0953,1.722,396.87,39.65,,,正常
山东省,济南市,徒骇河,海河流域,夏口,2024-11-23 04:00:00,Ⅲ,11.931,8.137,-,8.111,-,4.447,-,0.0567,-,0.0551,1.333,2256.88,21.141,,,正常
广东省,汕头市,韩江西溪,珠江流域,外砂,2024-11-23 04:00:00,Ⅱ,23.526,6.95,-,7.126,-,0.752,-,0.025,-,0.028,1.437,123.015,19.831,,,正常
辽宁省,抚顺市,浑河,辽河流域,大伙房水库,2024-11-23 04:00:00,Ⅱ,10.9,7.094,-,9.616,-,3.055,-,0.025,-,0.0203,3.151,236.45,2.62,0.01049,,正常
广西壮族自治区,河池市,红水河,珠江流域,大化,2024-11-23 04:00:00,Ⅱ,23.491,7.7,-,6.275,-,0.638,-,0.025,-,0.012,2.585,378.094,2.211,,,正常
天津市,宝坻区,潮白新河,海河流域,大套桥,2024-11-23 04:00:00,Ⅱ,12.63,7.74,-,5.976,-,3.748,-,0.025,-,0.0561,5.342,835.81,2.3,,,正常
山东省,滨州市,德惠新河,海河流域,大山,2024-11-23 04:00:00,Ⅲ,12.919,8.3058,-,7.261,-,5.178,-,0.1507,-,0.0667,1.197,3555.973,29.187,,,正常
浙江省,宁波市,大嵩江,浙闽片河流,大嵩,2024-11-23 04:00:00,Ⅱ,16.88,6.91,-,7.903,-,1.647,-,0.042,-,0.0673,2.108,107.05,9.14,,,正常
江苏省,连云港市,排淡河,淮河流域,大板跳闸,2024-11-23 04:00:00,Ⅱ,12.58,8.03,-,9.182,-,3.924,-,0.1647,-,0.0438,1.786,1592.99,23.48,,,正常
贵州省,毕节市,六冲河,长江流域,大桥边,2024-11-23 04:00:00,Ⅰ,16.554,7.816,-,9.437,-,0.709,-,0.025,-,0.013,3.35,374.102,11.059,,,正常
江苏省,无锡市,大浦港,太湖流域,大浦港桥,2024-11-23 04:00:00,-3,15.126,7.43,-,10.983,-,3.96,-,,-,0.069,2.326,431.276,54.032,,,维护
江苏省,连云港市,大浦河,淮河流域,大浦闸,2024-11-23 04:00:00,Ⅲ,15.408,6.958,-,7.697,-,3.496,-,0.2689,-,0.1011,6.427,882.3,8.81,,,正常
江苏省,无锡市,大港河,太湖流域,大港桥,2024-11-23 04:00:00,Ⅱ,15.407,6.98,-,7.246,-,1.166,-,0.025,-,0.014,2.449,187.982,7.068,,,正常
福建省,三明市,尤溪,浙闽片河流,大田高才,2024-11-23 04:00:00,Ⅱ,23.57,7.218,-,6.698,-,1.309,-,0.075,-,0.015,0.732,107.77,2.466,,,正常
四川省,泸州市,沱江,长江流域,大磨子,2024-11-23 04:00:00,Ⅲ,18.723,7.915,-,8.746,-,2.153,-,0.025,-,0.112,3.453,619.4,11.699,,,正常
海南省,三亚市,,珠江流域,大隆水库出口,2024-11-23 04:00:00,Ⅱ,26.42,7.74,-,7.84,-,2.82,-,0.025,-,0.017,0.77,94.98,2.43,0.0067,6583950,正常
广东省,梅州市,韩江,珠江流域,大麻,2024-11-23 04:00:00,Ⅱ,23.212,6.91,-,6.78,-,1.713,-,0.025,-,0.06,2.163,109.45,27.077,,,正常
广东省,广州市,市桥水道,珠江流域,大龙涌口,2024-11-23 04:00:00,Ⅱ,22.8,7.44,-,6.394,-,1.474,-,0.0333,-,0.076,2.87,639.9031,19.61312,,,正常
上海市,青浦区,太浦河,太湖流域,太浦河桥,2024-11-23 04:00:00,Ⅲ,16.5,7.67,-,8.225,-,2.641,-,0.193,-,0.1174,1.291,425.32,42.23,,,正常
江西省,九江市,长江,长江流域,姚港(河西水厂),2024-11-23 04:00:00,Ⅱ,18.41,7.83,-,8.69,-,1.391,-,0.025,-,0.073,2.527,410.05,9.65,,,正常
四川省,成都市,沱江,长江流域,宏缘,2024-11-23 04:00:00,Ⅲ,15.31,8.16,-,9.15,-,1.25,-,0.076,-,0.112,4.451,596.47,10.51,,,正常
广东省,广州市,沙湾水道,珠江流域,官坦,2024-11-23 04:00:00,Ⅱ,23.198,7.84,-,6.579,-,0.721,-,0.113,-,0.06,2.91,,11.143,,,维护
山东省,滨州市,徒骇河,海河流域,富国,2024-11-23 04:00:00,Ⅲ,16.436,8.306,-,9.166,-,4.9826,-,0.0283,-,0.0567,0.456,2915.95,8.69,,,正常
江苏省,盐城市,东台河,淮河流域,富民桥,2024-11-23 04:00:00,Ⅳ,15.07,7.39,-,4.435,-,3.431,-,0.251,-,0.0924,1.936,893.36,14.46,,,正常
